"Claim No","State","CLASS","Gender","Age","Claim Amount"
"H00001","STATE 14","C6 ","M",97,1134.44
"H00002","STATE 15","C6 ","M",,3761.24
"H00003","STATE 15","C11",,95,7842.31
"H00004","STATE 15","F6 ","F",,2384.67
"H00005","STATE 15","F6 ","M",95,650
"H00006","STATE 15","F6 ","M",,391.12
"H00007","STATE 15","C11","M",94,3775.83
"H00008","STATE 10","C6 ","M",94,415.35
"H00009","STATE 14","C11","M",,2283.56
"H00010","STATE 03","C11","M",93,665.48
"H00011","STATE 02","C6 ","M",93,414
"H00012","STATE 14","F11","M",93,285.94
"H00013","STATE 15","F6 ","M",,3488.99
"H00014","STATE 14","C6 ","M",92,2428
"H00015","STATE 15","C6 ","F",92,2049.26
"H00016","STATE 07","C6 ","F",92,1129.89
"H00017","STATE 02","C11","F",92,654
"H00018","STATE 03","C11","M",92,366.28
"H00019","STATE 14","F6 ","F",92,132.5
"H00020","STATE 15","C11","M",91,3890.07
"H00021","STATE 15","C11","M",91,2927.76
"H00022","STATE 15","C6 ","M",,2345.71
"H00023","STATE 15","C11","M",91,984.89
"H00024","STATE 04","C11","F",91,438.04
"H00025","STATE 04","C6 ","M",91,295.99
"H00026","STATE 15","C6 ","M",91,268.5
"H00027","STATE 02","C11","M",90,11756.34
"H00028","STATE 03","C6 ","F",90,8693.25
"H00029","STATE 15","F6 ","M",90,7261.51
"H00030","STATE 15","C6 ","F",,5663.66
"H00031","STATE 02","C11","M",90,3746.15
"H00032","STATE 01","F6 ","M",90,2607.82
"H00033","STATE 01","C6 ","F",,2402
"H00034","STATE 07","C6 ","F",90,2342.32
"H00035","STATE 17","C6 ","F",90,2104.31
"H00036","STATE 15","C11","M",90,1882.33
"H00037","STATE 15","C6 ","M",90,1418
"H00038","STATE 01","C6 ","M",90,1400
"H00039","STATE 15","C6 ","M",,1103.32
"H00040","STATE 15","C11","M",90,1092.1
"H00041","STATE 15","C1 ","M",90,1038.88
"H00042","STATE 02","C11","M",90,1013.06
"H00043","STATE 01","C11","M",,802.91
"H00044","STATE 04","C11","M",90,656.54
"H00045","STATE 07","C6 ","F",90,296.97
"H00046","STATE 15","C6 ","M",,267.43
"H00047","STATE 15","C1 ","F",90,249.1
"H00048","STATE 15","C1 ","F",90,187.79
"H00049","STATE 17","C6 ","M",89,59113.78
"H00050","STATE 15","C11","F",89,3681.48
"H00051","STATE 14","F1 ",,89,2836.69
"H00052","STATE 15","C6 ","M",89,2495.7
"H00053","STATE 04","C11","F",89,2250
"H00054","STATE 15","C6 ","M",89,1903.21
"H00055","STATE 03","C11","M",89,1678.27
"H00056","STATE 15","C6 ","F",89,1553.42
"H00057","STATE 17","C11","F",89,1157.42
"H00058","STATE 15","C11","M",89,1074.51
"H00059","STATE 15","C6 ","M",89,935.26
"H00060","STATE 17","C11","F",89,915.77
"H00061","STATE 15","C11","F",89,877.24
"H00062","STATE 07","C6 ","M",89,854.67
"H00063","STATE 02","C6 ","M",,785.25
"H00064","STATE 06","C6 ","M",,645.46
"H00065","STATE 15","C6 ","M",89,580.67
"H00066","STATE 03","C11","M",89,487.7
"H00067","STATE 06","C6 ","M",,479.37
"H00068","STATE 04","C11","F",89,328.09
"H00069","STATE 15","C6 ","M",89,275
"H00070","STATE 04","F6 ","M",,264.13
"H00071","STATE 15","C11","M",89,55
"H00072","STATE 03","C11","M",88,14833.3
"H00073","STATE 17","C11","F",88,3909.14
"H00074","STATE 12","C6 ","F",88,3876.6
"H00075","STATE 15","C6 ",,,3845
"H00076","STATE 15","C6 ","M",88,3106.54
"H00077","STATE 04","C11","F",88,3025
"H00078","STATE 15","C6 ","F",88,2750
"H00079","STATE 06","C6 ","F",88,2612.74
"H00080","STATE 02","C11","M",88,2057.77
"H00081","STATE 15","C6 ","M",88,1861.25
"H00082","STATE 15","C11","M",88,1773.92
"H00083","STATE 15","C6 ","M",88,1500
"H00084","STATE 15","F6 ","M",,1259.89
"H00085","STATE 17","C6 ","M",88,1250.85
"H00086","STATE 15","C1 ","F",88,1146.25
"H00087","STATE 12","C6 ","M",88,1030.83
"H00088","STATE 04","C1 ",,88,1008
"H00089","STATE 15","C6 ","M",,900
"H00090","STATE 15","C6 ","F",88,825.2
"H00091","STATE 15","C11","M",88,824.85
"H00092","STATE 03","C11","M",88,672.2
"H00093","STATE 04","C11","M",88,669.5
"H00094","STATE 15","F6 ","F",,664.34
"H00095","STATE 15","C11","M",88,646.08
"H00096","STATE 17","C6 ","M",88,641.15
"H00097","STATE 04","C11","M",88,586.43
"H00098","STATE 15","C11","M",88,581.64
"H00099","STATE 02","C11","M",88,428.97
"H00100","STATE 14","C11","M",88,408.39
"H00101","STATE 02","C6 ","F",87,8594.93
"H00102","STATE 07","C6 ","M",,5664.35
"H00103","STATE 15","C6 ","M",87,4494.59
"H00104","STATE 06","C1 ","M",87,4330.29
"H00105","STATE 17","C11","F",87,4235.53
"H00106","STATE 15","F6 ","M",87,3953.84
"H00107","STATE 03","C11","M",87,3841.66
"H00108","STATE 15","C6 ","M",87,3584.5
"H00109","STATE 02","C11","M",87,3121.37
"H00110","STATE 15","C6 ","M",87,2730.03
"H00111","STATE 04","C6 ","F",87,2700.03
"H00112","STATE 15","C11","M",87,2434.85
"H00113","STATE 15","F6 ","M",,1812.46
"H00114","STATE 15","C11","F",87,1683.52
"H00115","STATE 15","C6 ",,87,1665.51
"H00116","STATE 15","C11","M",87,1414.2
"H00117","STATE 15","C11","M",87,1250.4
"H00118","STATE 15","F6 ","M",,1145.95
"H00119","STATE 10","C11","M",87,1015.02
"H00120","STATE 04","C6 ","M",87,897.81
"H00121","STATE 17","F6 ",,87,865.9
"H00122","STATE 15","C6 ","M",87,800.16
"H00123","STATE 17","C11","M",87,711.34
"H00124","STATE 15","C6 ","F",87,705
"H00125","STATE 03","F1 ","M",87,670.34
"H00126","STATE 15","C11","F",87,580
"H00127","STATE 15","C6 ","F",87,540.07
"H00128","STATE 01","C6 ","M",,532.04
"H00129","STATE 13","C11","F",87,528.32
"H00130","STATE 07","C11","M",87,518.55
"H00131","STATE 03","C11","F",87,470.77
"H00132","STATE 15","C6 ","F",87,245.82
"H00133","STATE 17","C6 ","F",87,239.37
"H00134","STATE 15","C6 ","M",87,206.1
"H00135","STATE 07","C11","M",87,78.34
"H00136","STATE 15","C6 ","M",,30
"H00137","STATE 15","C6 ","F",,6384
"H00138","STATE 04","C6 ","F",86,
"H00139","STATE 15","C6 ","M",,4467.92
"H00140","STATE 13","C1 ",,86,3266.49
"H00141","STATE 04","F6 ","M",86,2798.26
"H00142","STATE 15","F6 ","M",86,2500
"H00143","STATE 15","C6 ","M",86,2474.4
"H00144","STATE 17","C11","F",86,2090.07
"H00145","STATE 15","C6 ","M",86,2031.61
"H00146","STATE 10","C11","F",86,1973.82
"H00147","STATE 15","C6 ","F",,1892.19
"H00148","STATE 15","C6 ","M",86,1887.92
"H00149","STATE 02","C11","M",86,1702.24
"H00150","STATE 10","C6 ","F",,1541.1
"H00151","STATE 15","C6 ","M",,1354.93
"H00152","STATE 02","F6 ","F",86,1302.65
"H00153","STATE 04","F6 ","M",86,1302.13
"H00154","STATE 02","C11","M",86,1263.51
"H00155","STATE 15","C6 ",,86,1092.8
"H00156","STATE 02","F6 ","F",86,1045
"H00157","STATE 02","C11","M",86,1008.53
"H00158","STATE 15","C6 ","M",86,879.3
"H00159","STATE 04","C11","M",86,811.51
"H00160","STATE 15","C6 ","F",86,701.52
"H00161","STATE 02","C11","M",86,625.52
