"claim_no","claim_amount_true"
"H00001",1134.44
"H00002",3761.24
"H00003",7842.31
"H00004",2384.67
"H00005",650
"H00006",391.12
"H00007",3775.83
"H00008",415.35
"H00009",2283.56
"H00010",665.48
"H00011",414
"H00012",285.94
"H00013",3488.99
"H00014",2428
"H00015",2049.26
"H00016",1129.89
"H00017",654
"H00018",366.28
"H00019",132.5
"H00020",3890.07
"H00021",2927.76
"H00022",2345.71
"H00023",984.89
"H00024",438.04
"H00025",295.99
"H00026",268.5
"H00027",11756.34
"H00028",8693.25
"H00029",7261.51
"H00030",5663.66
"H00031",3746.15
"H00032",2607.82
"H00033",2402
"H00034",2342.32
"H00035",2104.31
"H00036",1882.33
"H00037",1418
"H00038",1400
"H00039",1103.32
"H00040",1092.1
"H00041",1038.88
"H00042",1013.06
"H00043",802.91
"H00044",656.54
"H00045",296.97
"H00046",267.43
"H00047",249.1
"H00048",187.79
"H00049",59113.78
"H00050",3681.48
"H00051",2836.69
"H00052",2495.7
"H00053",2250
"H00054",1903.21
"H00055",1678.27
"H00056",1553.42
"H00057",1157.42
"H00058",1074.51
"H00059",935.26
"H00060",915.77
"H00061",877.24
"H00062",854.67
"H00063",785.25
"H00064",645.46
"H00065",580.67
"H00066",487.7
"H00067",479.37
"H00068",328.09
"H00069",275
"H00070",264.13
"H00071",55
"H00072",14833.3
"H00073",3909.14
"H00074",3876.6
"H00075",3845
"H00076",3106.54
"H00077",3025
"H00078",2750
"H00079",2612.74
"H00080",2057.77
"H00081",1861.25
"H00082",1773.92
"H00083",1500
"H00084",1259.89
"H00085",1250.85
"H00086",1146.25
"H00087",1030.83
"H00088",1008
"H00089",900
"H00090",825.2
"H00091",824.85
"H00092",672.2
"H00093",669.5
"H00094",664.34
"H00095",646.08
"H00096",641.15
"H00097",586.43
"H00098",581.64
"H00099",428.97
"H00100",408.39
"H00101",8594.93
"H00102",5664.35
"H00103",4494.59
"H00104",4330.29
"H00105",4235.53
"H00106",3953.84
"H00107",3841.66
"H00108",3584.5
"H00109",3121.37
"H00110",2730.03
"H00111",2700.03
"H00112",2434.85
"H00113",1812.46
"H00114",1683.52
"H00115",1665.51
"H00116",1414.2
"H00117",1250.4
"H00118",1145.95
"H00119",1015.02
"H00120",897.81
"H00121",865.9
"H00122",800.16
"H00123",711.34
"H00124",705
"H00125",670.34
"H00126",580
"H00127",540.07
"H00128",532.04
"H00129",528.32
"H00130",518.55
"H00131",470.77
"H00132",245.82
"H00133",239.37
"H00134",206.1
"H00135",78.34
"H00136",30
"H00137",6384
"H00138",4623.97
"H00139",4467.92
"H00140",3266.49
"H00141",2798.26
"H00142",2500
"H00143",2474.4
"H00144",2090.07
"H00145",2031.61
"H00146",1973.82
"H00147",1892.19
"H00148",1887.92
"H00149",1702.24
"H00150",1541.1
"H00151",1354.93
"H00152",1302.65
"H00153",1302.13
"H00154",1263.51
"H00155",1092.8
"H00156",1045
"H00157",1008.53
"H00158",879.3
"H00159",811.51
"H00160",701.52
"H00161",625.52
"H00162",557.18
"H00163",519.75
"H00164",499.59
"H00165",499.28
"H00166",484.03
"H00167",435
"H00168",402.32
"H00169",376
"H00170",365.26
"H00171",357
"H00172",351.38
"H00173",333.37
