"origin","development","cumulative"
1,1,357848
2,1,352118
3,1,290507
4,1,310608
5,1,443160
6,1,396132
7,1,440832
8,1,359480
9,1,376686
10,1,344014
1,2,1124788
2,2,1236139
3,2,1292306
4,2,1418858
5,2,1136350
6,2,1333217
7,2,1288463
8,2,1421128
9,2,1363294
1,3,1735330
2,3,2170033
3,3,2218525
4,3,2195047
5,3,2128333
6,3,2180715
7,3,2419861
8,3,2864498
1,4,2218270
2,4,3353322
3,4,3235179
4,4,3757447
5,4,2897821
6,4,2985752
7,4,3483130
1,5,2745596
2,5,3799067
3,5,3985995
4,5,4029929
5,5,3402672
6,5,3691712
1,6,3319994
2,6,4120063
3,6,4132918
4,6,4381982
5,6,3873311
1,7,3466336
2,7,4647867
3,7,4628910
4,7,4588268
1,8,3606286
2,8,4914039
3,8,4909315
1,9,3833515
2,9,5339085
1,10,3901463
