"age_group","age_start","open_interval","sex","healthy_years"
"0",0,FALSE,"total",57.9866815648068
"1-4",1,FALSE,"total",57.5373054022247
"5-9",5,FALSE,"total",53.790770615525
"10-14",10,FALSE,"total",49.0293607493696
"15-19",15,FALSE,"total",44.2642106801171
"20-24",20,FALSE,"total",39.6791430904783
"25-29",25,FALSE,"total",35.1790077212944
"30-34",30,FALSE,"total",30.7084041880551
"35-39",35,FALSE,"total",26.3329035113094
"40-44",40,FALSE,"total",22.1445801753921
"45-49",45,FALSE,"total",18.2578722494139
"50-54",50,FALSE,"total",14.6880691626152
"55-59",55,FALSE,"total",11.5014246162492
"60-64",60,FALSE,"total",8.73801272078767
"65-69",65,FALSE,"total",6.36750877663218
"70-74",70,FALSE,"total",4.41426883328035
"75-79",75,FALSE,"total",2.88775214487654
"80-84",80,FALSE,"total",1.85137058363935
"85+",85,TRUE,"total",1.16339703619456
"0",0,FALSE,"male",59.1220947482743
"1-4",1,FALSE,"male",58.7272045514912
"5-9",5,FALSE,"male",54.9938538008096
"10-14",10,FALSE,"male",50.2460057177713
"15-19",15,FALSE,"male",45.4956356478271
"20-24",20,FALSE,"male",40.9626250098403
"25-29",25,FALSE,"male",36.5279247438929
"30-34",30,FALSE,"male",32.0568112044267
"35-39",35,FALSE,"male",27.672089063949
"40-44",40,FALSE,"male",23.4147143221834
"45-49",45,FALSE,"male",19.4346082147313
"50-54",50,FALSE,"male",15.7233861457074
"55-59",55,FALSE,"male",12.342536451703
"60-64",60,FALSE,"male",9.44714600113948
"65-69",65,FALSE,"male",6.94712031666639
"70-74",70,FALSE,"male",4.84375325665977
"75-79",75,FALSE,"male",3.17858697207363
"80-84",80,FALSE,"male",2.01238903610485
"85+",85,TRUE,"male",1.19112853308211
"0",0,FALSE,"female",56.8516778811649
"1-4",1,FALSE,"female",56.3471592742383
"5-9",5,FALSE,"female",52.5870492255756
"10-14",10,FALSE,"female",47.8116206741554
"15-19",15,FALSE,"female",43.031261847728
"20-24",20,FALSE,"female",38.3934956335767
"25-29",25,FALSE,"female",33.8288211888428
"30-34",30,FALSE,"female",29.360849287804
"35-39",35,FALSE,"female",24.9969212588203
"40-44",40,FALSE,"female",20.8804878961809
"45-49",45,FALSE,"female",17.0906713053976
"50-54",50,FALSE,"female",13.6683494580136
"55-59",55,FALSE,"female",10.6834219964299
"60-64",60,FALSE,"female",8.06654463290466
"65-69",65,FALSE,"female",5.84040730201393
"70-74",70,FALSE,"female",4.06092565022675
"75-79",75,FALSE,"female",2.66185380198674
"80-84",80,FALSE,"female",1.71913695697787
"85+",85,TRUE,"female",1.12273863941828
