"age","education","sex","life_expectancy"
30,"below_upper_secondary","total",49.7987679099727
35,"below_upper_secondary","total",45.0592735968381
40,"below_upper_secondary","total",40.3218360408542
45,"below_upper_secondary","total",35.6289818837708
50,"below_upper_secondary","total",31.0265202463701
55,"below_upper_secondary","total",26.5598616345034
60,"below_upper_secondary","total",22.3043668696729
65,"below_upper_secondary","total",18.2949474394702
70,"below_upper_secondary","total",14.6155202445997
75,"below_upper_secondary","total",11.2716190918607
80,"below_upper_secondary","total",8.35664719001177
85,"below_upper_secondary","total",6.14046190926367
30,"below_upper_secondary","male",46.8029272257103
35,"below_upper_secondary","male",42.1433260517661
40,"below_upper_secondary","male",37.4819976680506
45,"below_upper_secondary","male",32.8622804398071
50,"below_upper_secondary","male",28.3539006542434
55,"below_upper_secondary","male",24.0255268150254
60,"below_upper_secondary","male",19.9746173808806
65,"below_upper_secondary","male",16.251662737323
70,"below_upper_secondary","male",12.9327341551325
75,"below_upper_secondary","male",9.9548882434371
80,"below_upper_secondary","male",7.39097522352786
85,"below_upper_secondary","male",5.43042449683829
30,"below_upper_secondary","female",52.3382540447929
35,"below_upper_secondary","female",47.5158899574755
40,"below_upper_secondary","female",42.7100007554173
45,"below_upper_secondary","female",37.9481953761099
50,"below_upper_secondary","female",33.2577832624554
55,"below_upper_secondary","female",28.6565070793633
60,"below_upper_secondary","female",24.1906540165666
65,"below_upper_secondary","female",19.9013322339542
70,"below_upper_secondary","female",15.8689537718183
75,"below_upper_secondary","female",12.1800566976208
80,"below_upper_secondary","female",8.96813392106214
85,"below_upper_secondary","female",6.54471067182468
30,"upper_secondary","total",51.1258380559321
35,"upper_secondary","total",46.3268919096633
40,"upper_secondary","total",41.540020479785
45,"upper_secondary","total",36.8016364607711
50,"upper_secondary","total",32.1479567948885
55,"upper_secondary","total",27.6424323099959
60,"upper_secondary","total",23.3435541934675
65,"upper_secondary","total",19.304059957704
70,"upper_secondary","total",15.576010114243
75,"upper_secondary","total",12.2254971128183
80,"upper_secondary","total",9.28404045179258
85,"upper_secondary","total",6.94172503045067
30,"upper_secondary","male",48.8643710517285
35,"upper_secondary","male",44.1039547161197
40,"upper_secondary","male",39.3545835552472
45,"upper_secondary","male",34.6562805072262
50,"upper_secondary","male",30.0579846737387
55,"upper_secondary","male",25.6495963759654
60,"upper_secondary","male",21.4899375203198
65,"upper_secondary","male",17.6153737762193
70,"upper_secondary","male",14.0802364112182
75,"upper_secondary","male",10.9282111523757
80,"upper_secondary","male",8.21761868271511
85,"upper_secondary","male",6.08848847388386
30,"upper_secondary","female",55.0012156780321
35,"upper_secondary","female",50.1435826174421
40,"upper_secondary","female",45.3031747500775
45,"upper_secondary","female",40.5058179569833
50,"upper_secondary","female",35.7641598117498
55,"upper_secondary","female",31.1035930354436
60,"upper_secondary","female",26.5546386145428
65,"upper_secondary","female",22.1710567381049
70,"upper_secondary","female",17.9851962323276
75,"upper_secondary","female",14.1228627990273
80,"upper_secondary","female",10.6674112503003
85,"upper_secondary","female",7.87265202164916
30,"tertiary","total",53.3878304427597
35,"tertiary","total",48.5172359957461
40,"tertiary","total",43.6627205831587
45,"tertiary","total",38.8469967792323
50,"tertiary","total",34.0980348593
55,"tertiary","total",29.4723661938598
60,"tertiary","total",24.9974989136724
65,"tertiary","total",20.7433061641535
70,"tertiary","total",16.7875854194441
75,"tertiary","total",13.1708854909741
80,"tertiary","total",9.99413608856419
85,"tertiary","total",7.46992895026519
30,"tertiary","male",51.9037614082988
35,"tertiary","male",47.0616285899197
40,"tertiary","male",42.2355867825936
45,"tertiary","male",37.4461546341585
50,"tertiary","male",32.7396896747629
55,"tertiary","male",28.1749627781557
60,"tertiary","male",23.7828477633335
65,"tertiary","male",19.6435791781233
70,"tertiary","male",15.8491504110089
75,"tertiary","male",12.4272847822889
80,"tertiary","male",9.43987208091837
85,"tertiary","male",7.09674092409241
30,"tertiary","female",56.9151477786498
35,"tertiary","female",52.0197748065646
40,"tertiary","female",47.1365464906473
45,"tertiary","female",42.2948760826545
50,"tertiary","female",37.4944415419526
55,"tertiary","female",32.7727983321041
60,"tertiary","female",28.1470934201178
65,"tertiary","female",23.6457579569746
70,"tertiary","female",19.3223930808999
75,"tertiary","female",15.2268715088265
80,"tertiary","female",11.5479450825776
85,"tertiary","female",8.4672914369717
