age,exposure.female,exposure.male,exposure.total,deaths.female,deaths.male,deaths.total
0,42241.83,44872.33,87114.16,120,136,256
1,42232.44,44913.15,87145.59,7,13,20
2,41640.37,44488.1,86128.47,3,11,14
3,41033.25,43716.22,84749.47,1,5,6
4,40594.55,43213.22,83807.77,10,8,18
5,40431.98,43209.05,83641.03,3,4,7
6,40889.76,43369.13,84258.89,1,4,5
7,40503.3,42551.48,83054.78,4,1,5
8,40092.46,42407.96,82500.42,1,4,5
9,40297.27,42693.1,82990.37,2,2,4
10,40686.49,42515.95,83202.44,3,3,6
11,41159.26,42990.94,84150.2,1,4,5
12,41450.66,43724.5,85175.16,5,5,10
13,41095.67,43565.16,84660.83,2,7,9
14,41572.35,44022.33,85594.68,7,3,10
15,41327.17,44147.28,85474.46,3,10,13
16,41558.63,44954.8,86513.43,11,10,21
17,42502.41,46479.92,88982.32,5,16,21
18,43540.9,48115.83,91656.72,11,21,32
19,46214.9,50531.36,96746.26,8,30,38
20,50053.06,53844.72,103897.78,8,24,32
21,51184.35,54549.65,105734,10,25,35
22,52758.1,55888.85,108646.95,8,24,32
23,55178.9,58253.19,113432.08,5,28,33
24,57102.65,60459.45,117562.1,9,33,42
25,58108.91,61477.27,119586.18,12,33,45
26,58913.87,61869.7,120783.57,17,40,57
27,58778.59,61101.89,119880.48,10,22,32
28,59097.7,61511.06,120608.76,16,50,66
29,58839.82,61333.9,120173.71,12,33,45
30,58200.27,60158.73,118359,15,29,44
31,58381.96,60552.09,118934.06,10,36,46
32,59059.56,60975.09,120034.64,15,36,51
33,59194.16,60425.54,119619.7,20,39,59
34,60241.96,61094.66,121336.61,31,44,75
35,61011.06,61598.22,122609.28,16,48,64
36,59918.47,61095,121013.46,30,58,88
37,56427.58,58030.57,114458.14,26,56,82
38,55266.11,56553.28,111819.4,28,47,75
39,54663.64,55309.74,109973.38,29,51,80
40,54743.25,55010.2,109753.45,32,63,95
41,56147.9,56136.69,112284.6,30,63,93
42,58751.76,58101.2,116852.96,53,71,124
43,59163.2,57973.77,117136.98,53,84,137
44,60847.2,59623.06,120470.25,47,93,140
45,63436.55,62479.42,125915.97,58,102,160
46,65101.66,64589.27,129690.93,59,117,176
47,67664.64,67423.26,135087.9,84,149,233
48,70632.46,71002.41,141634.87,89,168,257
49,71049.2,72106.04,143155.23,107,184,291
50,70943.59,71970.05,142913.64,104,186,290
51,70534.75,71531.35,142066.1,141,231,372
52,71770.68,72549.7,144320.38,154,255,409
53,71285.83,71483.73,142769.56,166,315,481
54,70833.47,71154.31,141987.79,179,318,497
55,68350.81,68854.27,137205.07,169,354,523
56,65924.81,65809.75,131734.56,208,389,597
57,63649.56,63054,126703.56,225,397,622
58,61370.65,60077.64,121448.28,218,438,656
59,59257.13,57473.65,116730.78,202,452,654
60,58331.57,55820.33,114151.9,247,489,736
61,55931.21,52761.49,108692.7,303,461,764
62,52245.04,48959.56,101204.6,279,527,806
63,50131.92,46332.83,96464.75,308,557,865
64,48886.07,45001.64,93887.72,319,519,838
65,47111.48,43055.93,90167.41,351,591,942
66,46528.11,42108.07,88636.17,352,597,949
67,46675.64,41981.22,88656.87,420,664,1084
68,48574.05,43017.3,91591.35,488,845,1333
69,48470.12,42412.41,90882.53,481,812,1293
70,46806.64,40936.53,87743.17,574,915,1489
71,33968.58,29111.56,63080.15,451,722,1173
72,39217.59,32607.63,71825.23,571,843,1414
73,43055.95,35498.49,78554.43,665,1056,1721
74,41089.09,33745.4,74834.5,652,1020,1672
75,44649.65,36243.17,80892.81,801,1152,1953
76,47200.12,37753.09,84953.21,926,1298,2224
77,49754.7,39299.27,89053.97,1137,1544,2681
78,39435.79,30498.64,69934.43,988,1290,2278
79,29266.83,22152.13,51418.96,925,1009,1934
80,27237.49,19922.45,47159.93,913,1094,2007
81,26232,18138.14,44370.14,1086,1134,2220
82,24995.01,16567.72,41562.74,1209,1105,2314
83,24014.06,15373.02,39387.08,1325,1280,2605
84,23445.99,14453.9,37899.89,1526,1272,2798
85,22130.11,13029.08,35159.19,1692,1405,3097
86,20946.24,11852.35,32798.59,1896,1461,3357
87,19045.39,10298.52,29343.91,1981,1408,3389
88,16813.7,8520.71,25334.4,1919,1289,3208
89,14398.15,6907.46,21305.62,2006,1154,3160
90,12727.1,5494.62,18221.72,2061,1032,3093
91,11415.71,4199.86,15615.56,2090,873,2963
92,9697.43,3172.28,12869.71,2002,719,2721
93,7917.26,2327.97,10245.23,1787,664,2451
94,6293.78,1730.01,8023.79,1591,522,2113
95,4659.44,1215.62,5875.06,,,1727
96,3222.18,819.11,4041.29,1088,294,1382
97,1983.06,497.32,2480.39,698,187,885
98,926.93,211.65,1138.58,330,103,433
99,486.49,104.11,590.6,,,237
100,336.46,68.96,405.42,,,182
101,216.57,42.51,259.08,,,116
102,174.27,33.25,207.53,,,98
103,110.97,21.25,132.22,70,12,82
104,56.91,13.88,70.8,,,42
105,29.75,7.98,37.73,20,6,26
106,14.1,2.78,16.88,11,3,14
107,6.58,0.4,6.98,,,2
108,3.37,0,3.37,,,3
109,0.8,0,0.8,,,0
110,0.17,0,0.17,,,1
