LGA,SD,Claims,Pop_density,KI,Accidents,Population
ASHFIELD,1,1103,0.499001,920,2304,124850
AUBURN,1,1939,0.148379,,2660,143500
BANKSTOWN,1,4339,,,7381,470700
BAULKHAMHILLS,,1491,0.025879,1554,3217,311300
BLACKTOWN,1,3801,0.081222,,6655,584900
BOTANY,1,387,0.178143,854,2013,106350
BURWOOD,1,1299,0.413285,946,1888,88750
CAMDEN,1,326,0.009404,353,510,56900
CAMPBELLTOWN,1,1789,0.03785,1846,2872,354050
CANTERBURY,1,3310,,2497,4991,396100
CONCORD,1,443,0.204721,497,1182,71200
DRUMMOYNE,1,673,0.39755,517,1340,95950
FAIRFIELD,1,6524,,,6977,457150
HOLROYD,1,1217,0.202343,,3672,243900
HORNSBY,1,1526,,2044,4459,359450
HUNTERSHILL,1,109,0.22174,235,596,38000
HURSTVILLE,1,1279,0.288277,953,2276,197800
KOGARAH,1,852,0.307531,845,1945,141800
KU-RING-GAI,1,1285,,1181,3081,314150
LANECOVE,1,417,0.283117,432,1078,89300
LEICHHARDT,1,1333,0.464087,1327,3001,176000
LIVERPOOL,1,3231,0.031331,2843,4638,286000
MANLY,1,493,0.258296,483,1045,111350
MARRICKVILLE,1,2201,0.524696,,4159,254500
MOSMAN,1,464,0.315388,364,918,81300
NORTHSYDNEY,1,773,0.473446,1053,2476,153800
PARRAMATTA,1,4746,0.218914,,7245,399900
PENRITH,1,2596,,,4491,401050
RANDWICK,1,1724,0.324929,,3826,356250
ROCKDALE,1,2132,0.30434,1538,3683,259050
RYDE,1,1715,0.22715,1633,3655,275600
STRATHFIELD,1,879,0.18927,675,1615,79850
SUTHERLAND,1,2467,,,5133,538100
SYDNEY,1,4631,0.333476,,9416,243450
WARRINGAH,1,1856,,2505,4983,540500
WAVERLEY,1,911,0.687608,805,1720,188600
WILLOUGHBY,1,966,0.237332,895,2472,160350
WOOLLAHRA,1,789,0.43451,778,1619,161450
BLUEMOUNTAINS,2,1115,0.004456,,1913,191950
GOSFORD,2,1716,,,3487,327600
HAWKESBURY,2,841,0.001553,1257,1810,129250
WOLLONDILLY,2,385,9.43e-4,619,781,72250
WYONG,2,1326,0.011036,1542,2338,246550
CESSNOCK,3,450,0.002154,789,1073,126750
