dosya,satir,sutun,eksik_sutun,eksik_satir_yuzde,kaynak,lisans,not,dondurma_tarihi
proje_autoclaim.csv,10296,29,4,20.7,cplm::AutoClaim,GPL (>= 2),Eksik degerler kaynak veride GERCEKTEN vardir; ders icin uretilmemistir. Mekanizmayi kimse bilmiyor.,2026-09-21
proje_motosiklet.csv,64548,9,4,16.2,insuranceData::dataOhlsson,GPL-2,Eksik degerler ders icin URETILMISTIR. Hangi sutunda hangi mekanizmanin (MCAR / MAR / MNAR) bulundugu soylenmez: teshis odevin kendisidir. Yanit ve maruziyet sutunlarina dokunulmamistir.,2026-09-21
proje_singapur.csv,7483,15,3,15.8,insuranceData::SingaporeAuto,GPL-2,Eksik degerler ders icin URETILMISTIR. Hangi sutunda hangi mekanizmanin (MCAR / MAR / MNAR) bulundugu soylenmez: teshis odevin kendisidir. Yanit ve maruziyet sutunlarina dokunulmamistir.,2026-09-21
proje_saglik_kapsam.csv,8802,11,3,15.9,AER::HealthInsurance,GPL-2 | GPL-3,Eksik degerler ders icin URETILMISTIR. Hangi sutunda hangi mekanizmanin (MCAR / MAR / MNAR) bulundugu soylenmez: teshis odevin kendisidir. Yanit ve maruziyet sutunlarina dokunulmamistir.,2026-09-21
proje_medicaid.csv,996,14,3,16,AER::Medicaid1986,GPL-2 | GPL-3,Eksik degerler ders icin URETILMISTIR. Hangi sutunda hangi mekanizmanin (MCAR / MAR / MNAR) bulundugu soylenmez: teshis odevin kendisidir. Yanit ve maruziyet sutunlarina dokunulmamistir.,2026-09-21
proje_saglik_prim.csv,1338,7,3,14.4,ExamPAData::health_insurance,MIT,Eksik degerler ders icin URETILMISTIR. Hangi sutunda hangi mekanizmanin (MCAR / MAR / MNAR) bulundugu soylenmez: teshis odevin kendisidir. Yanit ve maruziyet sutunlarina dokunulmamistir.,2026-09-21
proje_seyahat.csv,10000,7,3,15.4,ExamPAData::travel_insurance,MIT,Eksik degerler ders icin URETILMISTIR. Hangi sutunda hangi mekanizmanin (MCAR / MAR / MNAR) bulundugu soylenmez: teshis odevin kendisidir. Yanit ve maruziyet sutunlarina dokunulmamistir.,2026-09-21
proje_bolge_hasar.csv,176,7,3,18.2,gamlss.data::LGAclaims,GPL-2 | GPL-3,Eksik degerler ders icin URETILMISTIR. Hangi sutunda hangi mekanizmanin (MCAR / MAR / MNAR) bulundugu soylenmez: teshis odevin kendisidir. Yanit ve maruziyet sutunlarina dokunulmamistir.,2026-09-21
proje_rezerv_ozel_oto.csv,14600,13,1,1.9,raw::ppauto,MPL-2.0,"Ust ucgende bosluklar vardir (ders icin uretildi); Lag 1, son kosegen ve alt ucgen dokunulmamistir.",2026-09-21
proje_rezerv_ticari_oto.csv,15800,13,1,1.9,raw::comauto,MPL-2.0,"Ust ucgende bosluklar vardir (ders icin uretildi); Lag 1, son kosegen ve alt ucgen dokunulmamistir.",2026-09-21
proje_rezerv_genel_mes.csv,23900,13,1,1.8,raw::othliab,MPL-2.0,"Ust ucgende bosluklar vardir (ders icin uretildi); Lag 1, son kosegen ve alt ucgen dokunulmamistir.",2026-09-21
proje_rezerv_isci_tazm.csv,13200,13,1,2,raw::wkcomp,MPL-2.0,"Ust ucgende bosluklar vardir (ders icin uretildi); Lag 1, son kosegen ve alt ucgen dokunulmamistir.",2026-09-21
proje_rezerv_urun_mes.csv,7000,13,1,1.6,raw::prodliab,MPL-2.0,"Ust ucgende bosluklar vardir (ders icin uretildi); Lag 1, son kosegen ve alt ucgen dokunulmamistir.",2026-09-21
proje_rezerv_tibbi_mes.csv,3400,13,1,1.5,raw::medmal,MPL-2.0,"Ust ucgende bosluklar vardir (ders icin uretildi); Lag 1, son kosegen ve alt ucgen dokunulmamistir.",2026-09-21
proje_avusturya_mortalite.csv,111,7,2,9,MortalityTables::PopulationData.AT2017,GPL (>= 2),Ileri yaslarda olum sayilari bastirilmistir (ders icin uretildi); maruziyet dokunulmamistir.,2026-09-21
