"period","sex","age_label","age_start","open_interval","mx","qx","lx","ex"
"2023-2025","total","0",0,FALSE,0.00901664379836718,0.00894794730799989,1e+05,78.4949840511925
"2023-2025","total","1",1,FALSE,0.000951696382616702,0.000951207691154105,99105.2052692,78.2023534429059
"2023-2025","total","2",2,FALSE,0.000617158797324759,0.000616958758053712,99010.9356357145,77.2763728182102
"2023-2025","total","3",3,FALSE,0.000496903506569587,0.000496778142590413,98949.849971831,76.3237855755046
"2023-2025","total","4",4,FALSE,0.000432618058826423,0.000432522737760661,98900.6938491524,75.3614757998647
"2023-2025","total","5",5,FALSE,0.000407060148894667,0.000406975260861597,98857.9170502823,74.393873176947
"2023-2025","total","6",6,FALSE,0.000389204949793094,0.000389131238560262,98817.6843237026,73.4239634529134
"2023-2025","total","7",7,FALSE,0.000375549623085095,0.000375480373716193,98779.23127581,72.4523463134191
"2023-2025","total","8",8,FALSE,0.000347139951100095,0.000347079562777795,98742.1416131352,71.4793698086313
"2023-2025","total","9",9,FALSE,0.000359206966333663,0.000359142744146661,98707.8702337964,70.5040142706648
"2023-2025","total","10",10,FALSE,0.000344559440909525,0.000344500234692864,98672.4200184118,69.5291639542182
"2023-2025","total","11",11,FALSE,0.000366030878656084,0.000365965196063951,98638.4273465577,68.5529522940207
"2023-2025","total","12",12,FALSE,0.000398151319444656,0.000398074902774335,98602.3291151544,67.5778628853559
"2023-2025","total","13",13,FALSE,0.000424595422360569,0.000424508854899409,98563.0780025785,66.6045684211675
"2023-2025","total","14",14,FALSE,0.000465981001334328,0.000465874485030021,98521.2371032003,65.6326339376734
"2023-2025","total","15",15,FALSE,0.000556878084337564,0.000556725440615645,98475.3385726003,64.6629873586893
"2023-2025","total","16",16,FALSE,0.0005653248804653,0.000565161717640574,98420.5148463437,63.6987241651423
"2023-2025","total","17",17,FALSE,0.000627831148630662,0.000627633814628341,98364.8913391221,62.73446790258
"2023-2025","total","18",18,FALSE,0.000680095379262919,0.000679862629559546,98303.1542071454,61.7735533841612
"2023-2025","total","19",19,FALSE,0.000702888441623725,0.000702636901755121,98236.3215662321,60.8152416252228
"2023-2025","total","20",20,FALSE,0.000716702765223918,0.000716448944721894,98167.297101607,59.8576576903595
"2023-2025","total","21",21,FALSE,0.00072068365650812,0.000720426259942478,98096.9652451924,58.9002108345596
"2023-2025","total","22",22,FALSE,0.000742834570880117,0.000742556762113062,98026.2936154091,57.9423111531782
"2023-2025","total","23",23,FALSE,0.000733501316128004,0.000733229918069018,97953.5035282201,56.9849997347742
"2023-2025","total","24",24,FALSE,0.00072557246356698,0.00072530885249923,97881.6810888535,56.0264500076295
"2023-2025","total","25",25,FALSE,0.000710139136402963,0.000709891066560206,97810.6866390623,55.0667537261833
"2023-2025","total","26",26,FALSE,0.000717110843928358,0.000716852807993845,97741.2517064031,54.105512071543
"2023-2025","total","27",27,FALSE,0.000718024764368058,0.000717765262010953,97671.1856156605,53.1439683015747
"2023-2025","total","28",28,FALSE,0.000727105058018274,0.000726837533878665,97601.0806315262,52.1817839848591
"2023-2025","total","29",29,FALSE,0.000726741057407011,0.000726481080387631,97530.140502776,51.2193800832822
"2023-2025","total","30",30,FALSE,0.000742128249191054,0.000741850708005264,97459.2867009332,50.2562480265634
"2023-2025","total","31",31,FALSE,0.000750741861299598,0.00075045906325183,97386.9864600925,49.2931901946943
"2023-2025","total","32",32,FALSE,0.000769862093896071,0.000769562472115792,97313.9015134607,48.3298364499436
"2023-2025","total","33",33,FALSE,0.000794882675613808,0.000794563709675705,97239.0123868408,47.3666772560872
"2023-2025","total","34",34,FALSE,0.000830221877252124,0.000829876261315175,97161.7497964335,46.4039494245212
"2023-2025","total","35",35,FALSE,0.000872993157595378,0.000872611887113547,97081.1175667696,45.442077018963
"2023-2025","total","36",36,FALSE,0.000908832473902998,0.000908422963778023,96996.4034295665,44.4813286945066
"2023-2025","total","37",37,FALSE,0.000954681767116187,0.000954239259320848,96908.2896692872,43.5213150457384
"2023-2025","total","38",38,FALSE,0.000994734256291621,0.000994247669344844,96815.8159747312,42.5623932657669
"2023-2025","total","39",39,FALSE,0.00105312519707625,0.00105257409385537,96719.5570753426,41.6042473544865
"2023-2025","total","40",40,FALSE,0.00114271852170558,0.00114208171467174,96617.7525751959,40.6475552207541
"2023-2025","total","41",41,FALSE,0.00124256565891154,0.00124181527290478,96507.4072066671,39.693445652975
"2023-2025","total","42",42,FALSE,0.00135840904967516,0.00135749916593067,96387.5628344494,38.7421601596537
"2023-2025","total","43",43,FALSE,0.00146254448858033,0.00146148984557705,96256.7167982956,37.7941354827752
"2023-2025","total","44",44,FALSE,0.00159020991784521,0.00158892625100853,96116.0385841263,36.8487106006261
"2023-2025","total","45",45,FALSE,0.00173216633823393,0.00173067597418682,95963.317287277,35.9065707244933
"2023-2025","total","46",46,FALSE,0.00188606281722002,0.00188429389439939,95797.2358796446,34.9679493189396
"2023-2025","total","47",47,FALSE,0.00206376188426183,0.00206164018209156,95616.7257329763,34.0330154138761
"2023-2025","total","48",48,FALSE,0.00227056709920649,0.0022680284871013,95419.5984491252,33.1022884970437
"2023-2025","total","49",49,FALSE,0.00249471060945288,0.00249164465259137,95203.1840816148,32.1763835034497
"2023-2025","total","50",50,FALSE,0.00277870536199142,0.00277492717943706,94965.9715770881,31.2554900610975
"2023-2025","total","51",51,FALSE,0.00305358931337154,0.00304900681284336,94702.4479214372,30.3410439402571
"2023-2025","total","52",52,FALSE,0.00341580841645971,0.00340997483858922,94413.6995125318,29.4322838674242
"2023-2025","total","53",53,FALSE,0.00376560853615699,0.00375858949303706,94091.751172776,28.5312826409832
"2023-2025","total","54",54,FALSE,0.00420905654916316,0.00420027724029132,93738.0989054365,27.6370228510957
"2023-2025","total","55",55,FALSE,0.0046170824104872,0.00460649648247633,93344.3729020559,26.7514722651465
"2023-2025","total","56",56,FALSE,0.00512044198362592,0.00510745830212117,92914.3823766236,25.8729486865884
"2023-2025","total","57",57,FALSE,0.00564248773383125,0.00562681403314586,92439.8260429676,25.0031870784151
"2023-2025","total","58",58,FALSE,0.00627540088891734,0.00625614142585892,91919.6843325675,24.1418063327651
